3.28122	42.2553   [19]
3.31243	42.3353   [39]
3.225	42.3497   [59]
3.18451	42.3743   [79]
3.16559	42.3897   [99]
4.45352	42.2927   [119]
4.1701	42.3529   [139]
4.49837	42.5379   [159]
3.16539	42.4129   [179]
3.25752	42.4655   [199]
4.58451	42.5372   [219]
3.72945	42.545   [239]
3.13398	42.4994   [259]
3.04783	42.55   [279]
3.19089	42.5866   [299]
3.1616	42.5935   [319]
3.09771	42.5948   [339]
3.29182	42.6208   [359]
4.51386	42.7191   [379]
3.56244	42.6068   [399]
3.05235	42.6022   [419]
3.03369	42.6404   [439]
3.21232	42.688   [459]
3.36857	42.7069   [479]
3.04163	42.6695   [499]
3.05708	42.712   [519]
3.57139	42.71   [539]
3.10169	42.736   [559]
3.13758	42.7526   [579]
3.89136	42.7464   [599]
4.0794	42.8304   [619]
4.5715	42.8786   [639]
4.87072	42.9779   [659]
4.60739	43.0233   [679]
3.93203	42.886   [699]
3.4725	42.8399   [719]
4.01143	42.9053   [739]
4.04021	42.9602   [759]
3.4346	42.8644   [779]
3.03703	42.7639   [799]
3.08125	42.8065   [819]
3.14048	42.8294   [839]
3.11211	42.8378   [859]
3.26475	42.8642   [879]
3.3779	42.9179   [899]
3.04703	42.8568   [919]
3.25148	42.9125   [939]
3.17188	42.9122   [959]
3.31033	42.9475   [979]
3.0977	42.9284   [999]
3.34859	43.0035   [1019]
3.04821	42.9271   [1039]
3.04536	42.9459   [1059]
3.04789	42.9728   [1079]
3.15194	43.006   [1099]
3.11159	43.0328   [1119]
3.50079	42.9718   [1139]
4.128	43.0264   [1159]
4.66447	43.064   [1179]
4.5823	43.0896   [1199]
4.02397	43.0094   [1219]
3.46699	43.009   [1239]
3.96354	43.0647   [1259]
3.3672	43.0481   [1279]
3.35096	43.0616   [1299]
3.83148	43.0698   [1319]
3.31991	43.0844   [1339]
3.07762	43.0439   [1359]
3.12704	43.0646   [1379]
3.20248	43.1036   [1399]
3.61313	43.1261   [1419]
4.14391	43.0799   [1439]
4.4896	43.1004   [1459]
4.879	43.1552   [1479]
4.93424	43.1888   [1499]
4.37968	43.1498   [1519]
4.04034	43.1265   [1539]
4.57168	43.155   [1559]
4.54653	43.1673   [1579]
4.92098	43.2457   [1599]
4.45693	43.194   [1619]
4.14071	43.1718   [1639]
3.57209	43.1536   [1659]
3.25434	43.1105   [1679]
3.60121	43.1612   [1699]
3.58223	43.1923   [1719]
3.25693	43.1359   [1739]
3.13995	43.0932   [1759]
3.12913	43.1154   [1779]
3.15752	43.1344   [1799]
3.34611	43.1686   [1819]
3.63263	43.219   [1839]
4.15864	43.1931   [1859]
3.9457	43.2164   [1879]
3.50327	43.212   [1899]
3.23187	43.167   [1919]
3.20356	43.1775   [1939]
3.39583	43.198   [1959]
3.26413	43.1903   [1979]
3.27931	43.2013   [1999]
3.48637	43.2015   [2019]
3.27779	43.2152   [2039]
3.31169	43.2436   [2059]
3.38015	43.2463   [2079]
3.60524	43.2616   [2099]
3.63433	43.2537   [2119]
4.1597	43.2415   [2139]
4.61678	43.2717   [2159]
4.87691	43.2938   [2179]
4.56891	43.2569   [2199]
4.78946	43.3229   [2219]
4.8659	43.3271   [2239]
4.65846	43.3158   [2259]
4.49205	43.2759   [2279]
4.40617	43.3052   [2299]
4.6624	43.3242   [2319]
4.70397	43.3448   [2339]
4.49844	43.327   [2359]
4.0732	43.3105   [2379]
3.62214	43.2893   [2399]
4.03454	43.3257   [2419]
4.25969	43.3119   [2439]
4.36366	43.3303   [2459]
4.61976	43.3401   [2479]
4.60735	43.3499   [2499]
4.55715	43.363   [2519]
4.4849	43.3771   [2539]
4.21768	43.3506   [2559]
3.74694	43.3232   [2579]
3.48619	43.2598   [2599]
3.33055	43.2569   [2619]
3.50206	43.263   [2639]
3.43579	43.2668   [2659]
3.36693	43.2757   [2679]
3.40638	43.2823   [2699]
3.5619	43.2995   [2719]
3.66186	43.3262   [2739]
4.02379	43.3689   [2759]
4.1289	43.3898   [2779]
3.75967	43.3432   [2799]
3.5684	43.3271   [2819]
3.83936	43.3675   [2839]
3.77014	43.3639   [2859]
3.59419	43.3479   [2879]
3.64023	43.3804   [2899]
3.87267	43.4077   [2919]
4.07064	43.4166   [2939]
4.35924	43.3704   [2959]
4.31876	43.379   [2979]
4.48647	43.3865   [2999]
4.58529	43.4155   [3019]
4.41259	43.3896   [3039]
4.14957	43.4203   [3059]
3.87912	43.4367   [3079]
3.66821	43.3926   [3099]
3.79524	43.4193   [3119]
3.81609	43.4222   [3139]
3.86821	43.4406   [3159]
4.11509	43.4488   [3179]
4.27453	43.4143   [3199]
4.48764	43.4059   [3219]
4.43535	43.4113   [3239]
4.24231	43.4242   [3259]
4.31647	43.4425   [3279]
4.23426	43.4465   [3299]
4.37723	43.4389   [3319]
4.53648	43.4159   [3339]
4.53103	43.4328   [3359]
4.5582	43.4454   [3379]
4.41638	43.4416   [3399]
4.25915	43.4545   [3419]
4.20121	43.4591   [3439]
4.14595	43.4661   [3459]
4.0165	43.4661   [3479]
3.80286	43.4441   [3499]
4.025	43.476   [3519]
4.10932	43.4958   [3539]
3.99415	43.4938   [3559]
4.05633	43.5131   [3579]
3.8619	43.4692   [3599]
3.86878	43.4877   [3619]
4.03563	43.5174   [3639]
4.13663	43.5252   [3659]
4.00351	43.5266   [3679]
4.09941	43.5429   [3699]
3.95414	43.5251   [3719]
3.90449	43.505   [3739]
3.99598	43.5481   [3759]
4.0329	43.5562   [3779]
4.48451	43.4518   [3799]
4.4401	43.4504   [3819]
4.8704	43.338   [3839]
4.90392	43.35   [3859]
4.99514	43.3761   [3879]
4.88001	43.3645   [3899]
4.88709	43.3847   [3919]
4.88047	43.4044   [3939]
4.94544	43.4061   [3959]
4.93898	43.412   [3979]
